No,Category,Material Number,Detail Item,UoM,Harga Kontrak 1,Harga Kontrak 2,Harga Kontrak 3,PENAWARAN SAAT KONTRAK KE-3,Harga Planning Kontrak 4,Strategy,Keterangan
95,Pantry,PTR023,Nestle Coffee-Mate Ndc Bag 450gr,Pack,,,,"Rp 42,000",Rp 42.000,NEW_ITEM,
96,Sanitary,SNT001,Krisbow Sponge Penggosok,Pcs,,,Rp 43.000,"Rp 43,000",Rp 43.000,CARRY_FORWARD,
97,Sanitary,SNT002,"Amenities Set for Housing (Sikat gigi hotel, pasta gigi hotel)",Set,,,,"Rp 1,400",Rp 1.400,NEW_ITEM,
98,Sanitary,SNT003,Bayclin bleaching 500ml,Bottle,Rp 10.000,,Rp 14.000,"Rp 14,500",Rp 14.500,PRICE_UP,
99,Sanitary,SNT004,Bayfresh Hang n Go,Pcs,Rp 14.800,,Rp 13.500,"Rp 13,500",Rp 13.500,CARRY_FORWARD,
100,Sanitary,SNT005,GOODS PARFUM MOBIL / PENGHARUM MOBIL 250ML,Can,,,,,,NO_PRICE,
101,Sanitary,SNT006,BioWaste Septic Tank 100gr,Pcs,,Rp 55.000,,"Rp 58,000",Rp 58.000,PRICE_UP,
102,Sanitary,SNT007,Vanish Deep Clean Washing liquid refill pouch 750ml,Pcs,,,,"Rp 28,000",Rp 28.000,NEW_ITEM,
103,Sanitary,SNT008,KLENCO Sanifect High Level Disinfectant Jerry Can 5000ml,Jerigan,Rp 250.000,,,"Rp 570,000",Rp 570.000,PRICE_UP,"harga loncat jauh, cek harga aktual supplier"
104,Sanitary,SNT009,Wipol Floor Mop Karbol 780ml,Unit,,Rp 21.000,,"Rp 22,500",Rp 22.500,PRICE_UP,
105,Sanitary,SNT010,Wings SOKLIN Lantai Jerigen 4 Liter,Jerigan,,Rp 59.000,,"Rp 59,000",Rp 59.000,CARRY_FORWARD,
106,Sanitary,SNT011,Pledge Furniture Polish Lemon Pouch 450ml,Pcs,Rp 23.500,Rp 23.500,Rp 23.500,"Rp 23,500",Rp 23.500,CARRY_FORWARD,
107,Sanitary,SNT012,Pledge Furniture Polish Spray 450ml,Pcs,,,Rp 28.000,"Rp 28,000",Rp 28.000,CARRY_FORWARD,
108,Sanitary,SNT013,Yuri Glass Cleaner Fresh Blue Jerigen 3700 Ml,Pcs,,,,"Rp 58,000",Rp 58.000,NEW_ITEM,
109,Sanitary,SNT014,Sensi gloves Hand Medical Sarung tangan karet isi 100pcs size L,Pack,,,,"Rp 57,000",Rp 57.000,NEW_ITEM,
110,Sanitary,SNT015,Hand glove plastic size M,Pack,,,,"Rp 7,300",Rp 7.300,NEW_ITEM,
